MEF.identity,Pluripotency,G1.S,G2.M,Cell.cycle,ER.stress,Epithelial.identity,ECM.rearrangement,Apoptosis,SASP,Neural.identity,Neural.progenitor,Mesoderm,Endoderm,XEN-like cell,Placental.identity,X.reactivation,Candidate.from.array
Lpar4,Hells,,,Pold3,Psmc2,,Vwa1,Wrap73,Plaur,,,,,,H19,Was,
Pcdh19,Dppa4,,,Ckap2l,Tmub1,,Dnajb6,Mxd4,Il6st,,,,,,Tmem37,Wdr13,
Eda2r,Gabarapl2,,,Fam64a,Tmem129,,Emilin1,Rchy1,Egfr,,,,,,Mmp15,Rbm3,
Pcdh18,Rhox6,,,Ubr7,Wfs1,,Mpv17,Iscu,Fn1,,,,,,Fam101b,Rbm3os,
Gpr176,Rhox1,,,Fen1,Ube2k,,Apbb2,Triap1,,,,,,,Phf16,Tbc1d25,
Loc100503471,Cdc5l,,,Bub1,Tbl2,,Pdgfra,Prkab1,,,,,,,4930422n03rik,Ebp,
Mical2,Tex19.1,,,Brip1,Get4,,Ambn,Trafd1,,,,,,,Ada,Porcn,
Dzip1l,Trim28,,,Atad2,Bhlha15,,Dmp1,Pom121,,,,,,,Mmp1a,Ftsj1,
Hoxc6,Atp5g1,,,Psrc1,Creb3l2,,Ibsp,Pdgfa,,,,,,,Gpr126,Slc38a5,
Hoxc5,Sox2,,,Rrm2,Pdia4,,Tfip11,Gadd45a,,,,,,,Arf2,Ssxb10,
Mettl4-ps1,Jam2,,,Tipin,Eif2ak3,,Eln,Vamp8,,,,,,,Tinagl1,Ssxb9,
Sec63,Fkbp3,,,Casp8ap2,Rnf103,,Plod3,Retsat,,,,,,,Mfi2,Ssxb1,
Ikbip,Cox7b,,,Tubb4b,Aup1,,Col1a2,Tprkb,,,,,,,Rpn2,Ssxb2,
Tsc22d2,Ash2l,,,Kif23,Itpr1,,Ndnf,Tgfa,,,,,,,Abhd2,Gm14459,
2310076g05rik,Dut,,,Exo1,Edem1,,Vhl,Mxd1,,,,,,,Hrct1,Ssxb6,
Anxa6,Dtymk,,,Rfc2,Bbc3,,Mfap5,Sec61a1,,,,,,,Adm,Ssxb3,
Nfatc4,Gpx4,,,Pola1,Psmc4,,Ercc2,Xpc,,,,,,,Abhd6,Ssxb8,
Fn1,Eif4ebp1,,,Mki67,Bax,,Bcl3,Ccnd2,,,,,,,Slc7a1,Ssx9,
Wnt9a,Morc1,,,Tpx2,Ppp1r15a,,Tgfb1,H2afj,,,,,,,Tead4,Ssxb5,
Sorcs2,Fabp3,,,Aurka,Vimp,,Mia,Ldhb,,,,,,,Mbnl3,Gm6592,
Tmeff1,Zfp428,,,Anln,Rnf121,,Spint2,Lrmp,,,,,,,Gpr1,Gm5751,
C79491,Aqp3,,,Chaf1b,Anks4b,,Aplp1,Tm7sf3,,,,,,,2900057e15rik,B630019K06Rik,
Crlf1,Grhpr,,,Hjurp,Ern2,,Hpn,Tgfb1,,,,,,,Ldoc1,Fthl17b,
2610034e01rik,Higd1a,,,Tacc3,Atp2a1,,Klk4,Sertad3,,,,,,,Adam19,Fthl17c,
Gjd4,Rpp25,,,Mcm5,Brsk2,,Acan,Cebpa,,,,,,,Rybp,Fthl17d,
Ccng1,Rbpms,,,Anp32e,Ins2,,Serpinh1,Klk8,,,,,,,Col4a1,Fthl17e,
Gpr124,Mmp3,,,Dlgap5,Ccnd1,,Apbb1,Bax,,,,,,,Fndc3c1,Fthl17f,
Fibin,Apobec3,,,Ect2,Map3k5,,Ilk,Ppp1r15a,,,,,,,Col4a2,4930402K13Rik,
8030476l19rik,Spc24,,,Nuf2,Nrbf2,,Ric8,Rpl18,,,,,,,4930502e18rik,Lancl3,
Ddr2,Xlr3a,,,Cdc45,Derl3,,Muc5ac,Aen,,,,,,,Pkn2,Gm14862,
Arf4,Rec114,,,Ckap5,Ube2g2,,Ctgf,Rrp8,,,,,,,Rlim,Xk,
Ptprs,Mtf2,,,Ctcf,Tmem259,,Nr2e1,Ccp110,,,,,,,1600015i10rik,1700012L04Rik,
Sprr2k,Snrpn,,,Clspn,Creb3l3,,Nepn,Nupr1,,,,,,,Afp,Gm14501,
Adm,Gm13580,,,Cdca7,Hsp90b1,,P4ha1,Ptpre,,,,,,,Tmem140,Cybb,
A830029e22rik,Gmnn,,,Cdca3,Apaf1,,Spock2,Hras,,,,,,,Fstl3,Gm5132,
9230114k14rik,Chmp4c,,,Rpa2,Ifng,,Adamts14,Eps8l2,,,,,,,Ing4,Dynlt3,
Extl3,Hsf2bp,,,Gins2,Os9,,Mmp11,Ctsd,,,,,,,Taf7l,Hypm,
Mecom,Polr2e,,,E2f8,Ddit3,,Col18a1,Cd81,,,,,,,Sult1e1,4930557A04Rik,
Qsox1,Blvrb,,,Cdc25c,Erlin2,,Myf5,Perp,,,,,,,Olr1,Sytl5,
Tead1,Ldhb,,,Nek2,Ppp2cb,,Col4a1,Rps12,,,,,,,2610019f03rik,Srpx,
Snx7,Apoc1,,,Cdc20,Ubxn8,,Csgalnact1,Tpd52l1,,,,,,,F11,Rpgr,
Cdkl4,Syngr1,,,Rad51ap1,Casp3,,Comp,Sesn1,,,,,,,Fbxw8,Otc,
Cdkn2a,Bex1,,,,Pik3r2,,Gfod2,Foxo3,,,,,,,Sema4c,Tspan7,
Cdkn2b,Nr2c2ap,,,,Amfr,,Has3,Ddit4,,,,,,,Ctnnbip1,Gm10489,
Ccnyl1,,,,,Herpud1,,Atxn1l,Zfp365,,,,,,,Tfpi2,Mid1ip1,
Tubb2a-ps2,,,,,Aars,,Crispld2,Prmt2,,,,,,,Zbtb10,Gm14493,
Aen,,,,,Selk,,Foxf1,Mknk2,,,,,,,Mitf,Gm14483,
Farp1,,,,,Ero1l,,Foxc2,Dram1,,,,,,,Gpr50,Gm14474,
4930402h24rik,,,,,Psmc6,,Agt,Apaf1,,,,,,,Hic2,Gm14477,
Sh3rf3,,,,,Trim13,,Exoc8,Btg1,,,,,,,Tpbpb,Gm14476,
Adam19,,,,,Dnajc3,,Ero1l,Mdm2,,,,,,,Slc9a6,Gm14484,
Ddb1,,,,,Casp4,,Lgals3,Ddit3,,,,,,,Prl7d1,Gm14479,
Cttn,,,,,Casp12,,Ripk3,Gls2,,,,,,,Tpbpa,Gm14482,
9230112e08rik,,,,,Scamp5,,Loxl2,Dgka,,,,,,,Slco2a1,Gm14478,
Dbn1,,,,,Pml,,Lcp1,Cdkn2aip,,,,,,,Pkp2,Gm14475,
Fyttd1,,,,,Parp16,,Mmp13,Hmox1,,,,,,,9630050e16rik,Gm4906,
Lrrc15,,,,,Nck1,,Mmp20,Rrad,,,,,,,Pvrl2,Bcor,
Fkbp10,,,,,Uba5,,Col5a3,Cdh13,,,,,,,Zfp568,Gm14635,
Trub1,,,,,Usp19,,Smarca4,Osgin1,,,,,,,Vtcn1,Atp6ap2,
Zdhhc20,,,,,Stt3b,,Aplp2,Cgrrf1,,,,,,,Il6ra,1810030O07Rik,
Ston1,,,,,Rnf185,,Mpzl3,Abhd4,,,,,,,Foxo4,Med14,
Hoxd13,,,,,Xbp1,,Thsd4,Kif13b,,,,,,,Hsp90b1,Usp9x,
Nudt6,,,,,Erlec1,,Anxa2,Rb1,,,,,,,Prl7c1,2010308F09Rik,
Hoxd12,,,,,Stc2,,Myo1e,Nudt15,,,,,,,Prl6a1,Ddx3x,
Prss23,,,,,Trp53,,Nphp3,Tsc22d1,,,,,,,Cdh5,Nyx,
9430030n17rik,,,,,Alox15,,Dag1,Casp1,,,,,,,Fgd6,Cask,
Arntl2,,,,,Derl2,,Lamb2,St14,,,,,,,Cysltr2,Gpr34,
Sh3rf1,,,,,Trim25,,Kif9,Ei24,,,,,,,Rhox6,Gpr82,
Mrc2,,,,,Cdk5rap3,,Sh3pxd2b,Vwa5a,,,,,,,Cdh3,Gm5382,
Mdh1,,,,,Ccdc47,,Adamts2,Zbtb16,,,,,,,Spp2,Gm14505,
Rictor,,,,,Psmc5,,Wnt3a,Rps27l,,,,,,,Zim1,Drr1,
Map4k5,,,,,Ern1,,Mfap4,Mapkapk3,,,,,,,Flnb,Cypt1,
Plcl1,,,,,Nploc4,,Serpinf2,Ip6k2,,,,,,,Rbbp7,Maoa,
Sept11,,,,,P4hb,,Vtn,Tcn2,,,,,,,Map3k7,Maob,
Ryk,,,,,Txndc5,,Nf1,Lif,,,,,,,Rhox9,Ndp,
Tgfb3,,,,,Faf2,,Col1a1,Upp1,,,,,,,Whsc1l1,Efhc2,
Ube2i,,,,,Ubqln1,,Ramp2,Ccng1,,,,,,,Slc38a1,Fundc1,
Tgfb2,,,,,Atg10,,Gfap,Cyfip2,,,,,,,1600012p17rik,Dusp21,
Zfp319,,,,,Thbs4,,Sox9,Gnb2l1,,,,,,,Adra2b,Kdm6a,
Gm10399,,,,,Col4a3bp,,Ero1lb,Hint1,,,,,,,Pgf,4930578C19Rik,
Fbxo17,,,,,Pik3r1,,Nid1,Gm2a,,,,,,,1200009i06rik,Gm26652,
Wnt5a,,,,,Pdia6,,Foxf2,Hist3h2a,,,,,,,Mfsd7c,BC049702,
Crim1,,,,,Dnajb9,,Foxc1,Alox8,,,,,,,Esam,Chst7,
Mid1,,,,,Tmx1,,Ripk1,Trp53,,,,,,,Gpr107,Slc9a7,
Disp1,,,,,Jkamp,,Tfap2a,Tax1bp3,,,,,,,Au015791,Rp2,
Ubox5,,,,,Sel1l,,Ecm2,Traf4,,,,,,,Arhgap8,Jade3,
St7l,,,,,Psmc1,,B4galt7,Cdk5r1,,,,,,,Ankrd17,Rgn,
Col5a2,,,,,Atxn3,,Tgfbi,Ppm1d,,,,,,,Cul7,Ndufb11,
Axl,,,,,Derl1,,Pxdn,Rad51c,,,,,,,2310067p03rik,Rbm10,
Col5a1,,,,,Rnf139,,Smoc1,Tob1,,,,,,,Irs3,Uba1,
Zyx,,,,,Foxred2,,Ltbp2,Krt17,,,,,,,Prl5a1,Cdk16,
Ror2,,,,,Pla2g6,,Flrt2,Hexim1,,,,,,,Fntb,Usp11,
Wdfy3,,,,,Atf4,,Fbln5,Fdxr,,,,,,,Tceanc,Araf,
Amotl2,,,,,Ep300,,Egflam,Itgb4,,,,,,,Lepr,Syn1,
Yap1,,,,,Tmbim6,,Tnfrsf11b,Sphk1,,,,,,,Tnfrsf9,Timp1,
Phldb2,,,,,Txndc11,,Col14a1,Rhbdf2,,,,,,,Papola,Cfp,
6330562c20rik,,,,,Sdf2l1,,Has2,Baiap2,,,,,,,Srd5a1,Elk1,
Ctnnd1,,,,,Ufd1l,,Ptk2,Dcxr,,,,,,,C1qtnf1,Uxt,
Rock2,,,,,Eif2b5,,Scx,Hist1h1c,,,,,,,Slc38a4,Zfp182,
Masp1,,,,,Nrros,,Fbln1,Ninj1,,,,,,,Angpt4,Spaca5,
Pvt1,,,,,Pdia5,,Adamts20,Nol8,,,,,,,Ctla2a,Zfp300,
Tnc,,,,,Gsk3b,,Col2a1,F2r,,,,,,,9930012k11rik,Ssxa1,
Fbln2,,,,,Park2,,Myh11,Ankra2,,,,,,,Mical3,Gm21876,
Hdlbp,,,,,Stub1,,Ccdc80,Plk2,,,,,,,Apoa4,4930453H23Rik,
Atp10a,,,,,Pdia2,,Abi3bp,Sdc1,,,,,,,Cul4b,Gm6938,
Loxl1,,,,,Crebrf,,App,Gpx2,,,,,,,3632454l22rik,Gm26593,
Loxl2,,,,,Bak1,,Serac1,Zfp36l1,,,,,,,Psg-ps1,Agtr2,
Fbln5,,,,,Rnf5,,Plg,Fos,,,,,,,Lcor,Slc6a14,
Ctgf,,,,,Atf6b,,Smoc2,Ccnk,,,,,,,Tnfrsf22,Gm28269,
Efnb2,,,,,Bag6,,Has1,Jag2,,,,,,,Tnfrsf23,Gm28268,
Rxra,,,,,Flot1,,Noxo1,Ndrg1,,,,,,,Sos1,Klhl13,
Ccnd2,,,,,Eif2ak2,,Col11a2,Pmm1,,,,,,,Dlx3,Wdr44,
Gpc2,,,,,Pmaip1,,Tnxb,Plxnb2,,,,,,,Ippk,Gm4907,
Ntf3,,,,,Tmx3,,Tnf,Vdr,,,,,,,Htr2b,Gm4985,
Kif5b,,,,,Syvn1,,2300002M23Rik,Csrnp2,,,,,,,Dusp16,Gm27192,
Slit2,,,,,Erlin1,,Flot1,Acvr1b,,,,,,,Cdc73,Gm5934,
Tpm1,,,,,,,Hsp90ab1,Sp1,,,,,,,1700025g04rik,Gm4297,
Gpc4,,,,,,,Wash1,Abat,,,,,,,Prl4a1,Gm5935,
Flnb,,,,,,,Vit,Socs1,,,,,,,Zfp655,Gm5169,
4930555b11rik,,,,,,,Cyp1b1,Abcc5,,,,,,,Slc13a4,Gm1993,
Flnc,,,,,,,Fshr,Trp63,,,,,,,Ceacam14,E330010L02Rik,
C76332,,,,,,,Mkx,Fam162a,,,,,,,Ceacam15,Gm5168,
Capn2,,,,,,,Lox,App,,,,,,,Trap1a,Gm2012,
Phlda3,,,,,,,Hpse2,Rab40c,,,,,,,Ceacam12,Gm2030,
Map3k7,,,,,,,Kazald1,Bak1,,,,,,,Gm16515,Slx,
Myh10,,,,,,,Nfkb2,Def6,,,,,,,Ceacam13,Gm14525,
D18ertd653e,,,,,,,,Cdkn1a,,,,,,,4930447f24rik,Gm6121,
Stox2,,,,,,,,Tap1,,,,,,,Gzmd,Gm10230,
Igf2r,,,,,,,,Ier3,,,,,,,Foxj2,Gm2101,
D15ertd621e,,,,,,,,Polh,,,,,,,Fbxl19,Gm10058,
Arid5b,,,,,,,,Ccnd3,,,,,,,Gzmc,Gm2117,
Tnfrsf10b,,,,,,,,Hbegf,,,,,,,Gzmf,Gm4836,
2610011e03rik,,,,,,,,Hdac3,,,,,,,Gzme,Gm10147,
Ckap4,,,,,,,,Rad9a,,,,,,,Gzmg,Gm2165,
Efna2,,,,,,,,Ctsf,,,,,,,Patl2,Gm10096,
Picalm,,,,,,,,Slc3a2,,,,,,,3830417a13rik,Gm2200,
Cdh10,,,,,,,,Fas,,,,,,,Tspan14,Gm26818,
Ddah1,,,,,,,,,,,,,,,Hand1,Gm3669,
Uba3,,,,,,,,,,,,,,,Atxn10,Gm10488,
0610038b21rik,,,,,,,,,,,,,,,Mgat4a,E330016L19Rik,
Gemin7,,,,,,,,,,,,,,,Unc50,Gm14632,
Uba1,,,,,,,,,,,,,,,Il2rb,Gm7437,
Fbn1,,,,,,,,,,,,,,,Ceacam11,Gm14974,
Lhx9,,,,,,,,,,,,,,,Plekhg1,Gm10487,
Eif4g2,,,,,,,,,,,,,,,Prl3b1,Gm21447,
Vcl,,,,,,,,,,,,,,,Folr1,Spin2f,
Bcl2l2,,,,,,,,,,,,,,,A830080d01rik,Gm2784,
Cd276,,,,,,,,,,,,,,,Blzf1,Gm2777,
Lrrc58,,,,,,,,,,,,,,,Zfp667,Gm21883,
Wwc2,,,,,,,,,,,,,,,Flt1,Spin2e,
Lpp,,,,,,,,,,,,,,,Usp27x,Gm21608,
Arl1,,,,,,,,,,,,,,,Hdac4,Gm21637,
Ltbp1,,,,,,,,,,,,,,,Itgb3,Gm21645,
Ltbp2,,,,,,,,,,,,,,,Sri,Gm2799,
Wisp1,,,,,,,,,,,,,,,Sema3f,Gmcl1l,
Igf1r,,,,,,,,,,,,,,,Prl3a1,Gm5926,
Rhobtb3,,,,,,,,,,,,,,,Bahd1,Gm21951,
Fam198b,,,,,,,,,,,,,,,Sin3b,Gm21657,
Cnn2,,,,,,,,,,,,,,,Gm2a,Gm21789,
Glipr2,,,,,,,,,,,,,,,Serpinb9g,Gm2825,
Syde1,,,,,,,,,,,,,,,Bend4,Spin2-ps6,
Hhat,,,,,,,,,,,,,,,Bend5,Gm2863,
Zmat3,,,,,,,,,,,,,,,Serpinb9b,Gm2854,
Cald1,,,,,,,,,,,,,,,Serpinb9c,Gm2913,
Pmepa1,,,,,,,,,,,,,,,Serpinb9d,Gm2927,
E130112l23rik,,,,,,,,,,,,,,,Plekhh1,Gm2933,
Bag2,,,,,,,,,,,,,,,2210011c24rik,Gm2964,
Zfp583,,,,,,,,,,,,,,,Cd320,Gm21870,
Pibf1,,,,,,,,,,,,,,,Ccnjl,Gm21681,
Pmaip1,,,,,,,,,,,,,,,Entpd2,Spin2g,
A130022j15rik,,,,,,,,,,,,,,,Il1r2,Gm21699,
Bcl9l,,,,,,,,,,,,,,,Sfmbt2,Gm14552,
Cpa6,,,,,,,,,,,,,,,1700011m02rik,Gm10486,
D13ertd787e,,,,,,,,,,,,,,,Plekha7,Gm2309,
Pabpc4l,,,,,,,,,,,,,,,Sfrp5,Gm14553,
Zfhx3,,,,,,,,,,,,,,,Ppp1r3f,Gm14819,
Itga5,,,,,,,,,,,,,,,Obsl1,Dock11,
Txnrd1,,,,,,,,,,,,,,,Slc23a3,Il13ra1,
Htr1b,,,,,,,,,,,,,,,Tmem87b,Zcchc12,
Hmga2,,,,,,,,,,,,,,,Epas1,Lonrf3,
Sept2,,,,,,,,,,,,,,,Ccdc68,Gm6268,
Lamb1,,,,,,,,,,,,,,,Kdelr2,Gm14569,
Zfp518b,,,,,,,,,,,,,,,Pramef12,Pgrmc1,
Parva,,,,,,,,,,,,,,,Lrp8,Akap17b,
Gulp1,,,,,,,,,,,,,,,Pard6b,Slc25a43,
Shank1,,,,,,,,,,,,,,,Peg10,Slc25a5,
Bmp1,,,,,,,,,,,,,,,N4bp2,Gm14549,
Akt1s1,,,,,,,,,,,,,,,Pla2g4e,2310010G23Rik,
Itga9,,,,,,,,,,,,,,,Fam78b,C330007P06Rik,
Abcc1,,,,,,,,,,,,,,,Arrdc3,Ube2a,
Eda,,,,,,,,,,,,,,,Pla2g4d,Nkrf,
B4galt2,,,,,,,,,,,,,,,Rassf8,Gm15008,
Nid1,,,,,,,,,,,,,,,Au015836,Sept6,
Ncam1,,,,,,,,,,,,,,,Csnk1e,Sowahd,
Shc2,,,,,,,,,,,,,,,Stag1,Rpl39,
Uba6,,,,,,,,,,,,,,,Vnn1,Upf3b,
Tradd,,,,,,,,,,,,,,,Tchhl1,Nkap,
Rtel1,,,,,,,,,,,,,,,Pla1a,Akap14,
Bicd2,,,,,,,,,,,,,,,Slc45a4,Ndufa1,
Adamts12,,,,,,,,,,,,,,,Tex264,Rnf113a1,
Hs2st1,,,,,,,,,,,,,,,Pcdh12,Gm9,
D10ertd610e,,,,,,,,,,,,,,,Ctr9,Rhox1,
Cyr61,,,,,,,,,,,,,,,Ccr1l1,Rhox2a,
Gtf3c1,,,,,,,,,,,,,,,Htatsf1,Rhox3a,
Lbh,,,,,,,,,,,,,,,9030409g11rik,Rhox4a,
Krt33b,,,,,,,,,,,,,,,Tspan9,Rhox3a2,
Gm6607,,,,,,,,,,,,,,,Rassf6,Rhox4a2,
D3wsu167e,,,,,,,,,,,,,,,4631402f24rik,Rhox2b,
